,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
202,02.09.2017,,,,,,,,,,,,,,,,,,,,,,,
203,04.09.2017,,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,
204,05.09.2017,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,
205,06.09.2017,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,
206,07.09.2017,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,
207,08.09.2017,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,
208,09.09.2017,,,,,,,,,,,,,,,,,,,,,,,
209,11.09.2017,,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,
210,12.09.2017,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,1.0
211,13.09.2017,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
212,14.09.2017,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,
213,15.09.2017,,1.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,
214,16.09.2017,,,,,,,,,,,,,,,,,,,,,,,
215,18.09.2017,,1.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,
216,19.09.2017,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,
217,20.09.2017,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,
218,21.09.2017,,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,
219,22.09.2017,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
220,23.09.2017,,,,,,,,,,,,,,,,,,,,,,,
221,25.09.2017,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,,
